許可證字號,形狀,顏色
衛署藥製字第026078號,圓形,藍
衛署藥製字第026079號,圓形,綠
衛署藥製字第026080號,圓形,粉
衛署藥製字第026093號,橢圓形,橘
衛署藥製字第026103號,膠囊,藍;;;橘
衛署藥製字第026114號,膠囊,綠;;;灰
衛署藥製字第026115號,膠囊,綠;;;灰
衛署藥製字第026127號,圓形,黃
衛署藥製字第026133號,橢圓形,白
衛署藥製字第026136號,膠囊,綠;;;白
衛署藥製字第026138號,圓形,白
衛署藥製字第026154號,三角形,白
衛署藥製字第026175號,圓形,棕
衛署藥製字第026205號,圓形,白
衛署藥製字第026233號,膠囊,灰;;;白
衛署藥製字第026234號,四邊形,白
衛署藥製字第026263號,圓形,白
衛署藥製字第026272號,圓形,橘
衛署藥製字第026276號,膠囊,粉;;;粉
衛署藥製字第026278號,圓形,白
衛署藥製字第026282號,膠囊,綠;;;黃
衛署藥製字第026284號,圓形,黃
衛署藥製字第026287號,橢圓形,粉
衛署藥製字第026289號,膠囊,綠;;;綠
衛署藥製字第026324號,膠囊,黑;;;藍
衛署藥製字第026327號,膠囊,橘;;;黃
衛署藥製字第026330號,圓形,白
衛署藥製字第026346號,四邊形,黃
衛署藥製字第026363號,圓形,白
衛署藥製字第026405號,圓形,白
衛署藥製字第026430號,膠囊,白;;;白
衛署藥製字第026439號,膠囊,橘;;;橘
衛署藥製字第026472號,膠囊,黑;;;紅
衛署藥製字第026473號,橢圓形,白
衛署藥製字第026478號,膠囊,綠;;;綠
衛署藥製字第026510號,膠囊,棕;;;黃
衛署藥製字第026529號,圓形,白
衛署藥製字第026563號,水滴形,白
衛署藥製字第026583號,四邊形,白
衛署藥製字第026615號,膠囊,紫;;;藍綠
衛署藥製字第026644號,圓形,黃
衛署藥製字第026683號,六邊形,黃
衛署藥製字第026717號,膠囊,紅;;;白
衛署藥製字第026766號,圓形,綠
衛署藥製字第026798號,圓形,黃
衛署藥製字第026834號,圓形,白
衛署藥製字第026849號,橢圓形,藍
衛署藥製字第026867號,膠囊,紅;;;白
衛署藥製字第049841號,橢圓形,橘
衛署藥製字第049851號,圓形,白
衛署藥製字第049854號,橢圓形,白
衛署藥製字第049858號,橢圓形,白
衛署藥製字第049887號,橢圓形,白
衛署藥製字第049889號,四邊形,黃
衛署藥製字第049891號,液劑(包含糖漿用粉劑),透明;;;棕
衛署藥製字第049899號,橢圓形,黃
衛署藥製字第049904號,雙圓形,綠
衛署藥製字第049915號,其他,白
衛署藥製字第049920號,圓形,白
衛署藥製字第049930號,圓形,白
衛署藥製字第049958號,膠囊,灰;;;粉
衛署藥製字第049959號,橢圓形,白
衛署藥製字第049967號,圓形,粉
衛署藥製字第049970號,膠囊,橘;;;白
