許可證字號,形狀,顏色
衛部藥輸字第029041號,圓形,白
衛部藥輸字第029043號,膠囊,白
衛部藥輸字第029046號,圓形,綠
衛部藥輸字第029054號,橢圓形,白;;;白
衛部藥輸字第029055號,橢圓形,白;;;白
衛部藥輸字第029061號,,
衛署成製字第007869號,,透明
衛署成製字第008155號,圓形,白
衛署成製字第014771號,,;;;
衛署成製字第015063號,其他,;;;
衛署成製字第016214號,液劑(包含糖漿用粉劑),藍
衛署罕藥製字第000001號,膠囊,藍;;;藍
衛署罕藥製字第000006號,膠囊,橘;;;白
衛署罕藥製字第000007號,膠囊,橘;;;橘
衛署罕藥製字第000008號,膠囊,黃;;;黃
衛署罕藥製字第000009號,膠囊,橘;;;橘
衛署罕藥製字第000010號,膠囊,藍;;;藍
衛署罕藥製字第000011號,膠囊,白;;;白
衛署罕藥輸字第000001號,液劑(包含糖漿用粉劑),透明
衛署罕藥輸字第000002號,膠囊,白;;;白
衛署罕藥輸字第000005號,膠囊,紫;;;黃
衛署罕藥輸字第000006號,圓形,白
衛署罕藥輸字第000007號,膠囊,白;;;白
衛署罕藥輸字第000010號,橢圓形,白
衛署罕藥輸字第000012號,圓形,橘
衛署罕藥輸字第000013號,橢圓形,橘
衛署罕藥輸字第000017號,,
衛署罕藥輸字第000019號,圓形,白
衛署罕藥輸字第000021號,四邊形,白
衛署罕藥輸字第000023號,橢圓形,粉
衛署罕藥輸字第000024號,四邊形,粉
衛署罕藥輸字第000025號,膠囊,黃;;;白
衛署罕藥輸字第000026號,圓形;;;圓形,黃;;;黃
衛署罕藥輸字第000027號,圓形,白
衛署菌疫輸字第000301號,,;;;
衛署菌疫輸字第000456號,,
衛署菌疫輸字第000510號,其他,
衛署菌疫輸字第000702號,,;;;
衛署菌疫輸字第000751號,,
衛署菌疫輸字第000825號,液劑(包含糖漿用粉劑),黃
衛署菌疫輸字第000845號,,
衛署菌疫輸字第000856號,,
衛署菌疫輸字第000935號,,
衛署菌疫輸字第000939號,,
衛署藥製字第000059號,圓形,白
衛署藥製字第000072號,圓形,橘
衛署藥製字第000076號,圓形,白
衛署藥製字第000096號,膠囊,藍;;;白
衛署藥製字第000106號,膠囊,紅;;;黃
衛署藥製字第000118號,圓形,白
衛署藥製字第000119號,圓形,白
衛署藥製字第000173號,圓形,白
衛署藥製字第000178號,圓形,黃
衛署藥製字第000389號,圓形,白
衛署藥製字第000467號,圓形,黃
衛署藥製字第000639號,圓形,藍綠
衛署藥製字第000649號,圓形,綠
衛署藥製字第000655號,圓形,白
衛署藥製字第000913號,圓形,粉
衛署藥製字第001041號,三角形,藍
衛署藥製字第001047號,圓形,白
衛署藥製字第001129號,圓形,白
衛署藥製字第001154號,膠囊,紅;;;白
衛署藥製字第001400號,圓形,黃
衛署藥製字第001426號,四邊形,白
衛署藥製字第001662號,圓形,黃
衛署藥製字第001713號,圓形,白
衛署藥製字第001741號,圓形,白
衛署藥製字第001779號,圓形,黃
衛署藥製字第001781號,橢圓形,黃
衛署藥製字第001816號,圓形,白
衛署藥製字第001963號,圓形,白
衛署藥製字第001997號,圓形,粉
衛署藥製字第002101號,圓形,綠
衛署藥製字第002242號,圓形,黃
衛署藥製字第002244號,圓形,白
衛署藥製字第002320號,圓形,白
衛署藥製字第002359號,圓形,藍
衛署藥製字第002573號,圓形,黃
衛署藥製字第002626號,膠囊,藍;;;黃
衛署藥製字第002763號,圓形,黃
衛署藥製字第002904號,圓形,白
衛署藥製字第002956號,膠囊,橘;;;白
衛署藥製字第002962號,圓形,粉
衛署藥製字第002963號,圓形,白
衛署藥製字第003019號,圓形,綠
衛署藥製字第003086號,圓形,黃
衛署藥製字第003136號,圓形,白
衛署藥製字第003286號,膠囊,紅;;;黃
衛署藥製字第003291號,圓形,白
衛署藥製字第003314號,膠囊,藍;;;黃
衛署藥製字第003365號,圓形,白
衛署藥製字第003388號,圓形,白
衛署藥製字第003389號,圓形,白
衛署藥製字第003437號,膠囊,藍;;;白
衛署藥製字第003442號,圓形,白
衛署藥製字第003494號,圓形,黃
衛署藥製字第003534號,圓形,粉
衛署藥製字第003621號,五邊形,粉
衛署藥製字第003633號,圓形,白
衛署藥製字第003727號,膠囊,紅;;;紅
衛署藥製字第003739號,圓形,綠
衛署藥製字第003773號,圓形,綠
衛署藥製字第003775號,膠囊,紅;;;黃
衛署藥製字第003903號,圓形,白
衛署藥製字第003976號,圓形,白
衛署藥製字第004042號,圓形,白
衛署藥製字第004052號,膠囊,橘;;;黃
衛署藥製字第004220號,圓形,白
衛署藥製字第004221號,圓形,藍
衛署藥製字第004222號,圓形,白
衛署藥製字第004249號,圓形,黃
衛署藥製字第004263號,膠囊,藍;;;白
衛署藥製字第004276號,圓形,粉
衛署藥製字第004300號,圓形,白
衛署藥製字第004382號,圓形,白
衛署藥製字第004411號,圓形,黃
衛署藥製字第004414號,圓形,黃
衛署藥製字第004417號,圓形,黃
衛署藥製字第004441號,圓形,粉
衛署藥製字第004452號,圓形,黃
衛署藥製字第004462號,三角形,黃
衛署藥製字第004475號,圓形,粉
衛署藥製字第004506號,圓形,白
衛署藥製字第004643號,圓形,白
衛署藥製字第004692號,圓形,白
衛署藥製字第004704號,圓形,藍
衛署藥製字第004722號,圓形,白
衛署藥製字第004737號,圓形,橘
衛署藥製字第004739號,膠囊,紅;;;紅
衛署藥製字第004782號,液劑(包含糖漿用粉劑);;;液劑(包含糖漿用粉劑),紅;;;紅
衛署藥製字第004791號,圓形,綠
衛署藥製字第004815號,圓形,黃
衛署藥製字第004820號,圓形,粉
衛署藥製字第004835號,圓形,白
衛署藥製字第004838號,膠囊,藍;;;粉
衛署藥製字第004857號,圓形,白
衛署藥製字第004899號,圓形,白
衛署藥製字第004900號,圓形,白
衛署藥製字第004919號,圓形,白
衛署藥製字第004953號,液劑(包含糖漿用粉劑);;;液劑(包含糖漿用粉劑),棕;;;棕
衛署藥製字第004993號,圓形,黃
衛署藥製字第005045號,圓形,黃
衛署藥製字第005051號,圓形,白;;;白
衛署藥製字第005200號,圓形,紅
衛署藥製字第005232號,膠囊,綠;;;黃
衛署藥製字第005247號,圓形,藍
衛署藥製字第005359號,圓形,粉
衛署藥製字第005381號,膠囊,藍;;;黃
衛署藥製字第005412號,圓形,白
衛署藥製字第005445號,膠囊,綠;;;綠
衛署藥製字第005446號,膠囊,綠;;;白
衛署藥製字第005508號,膠囊,藍;;;黃
衛署藥製字第005669號,圓形,白
衛署藥製字第005712號,圓形,藍
衛署藥製字第005749號,膠囊,紅;;;黃
衛署藥製字第036188號,膠囊,紅;;;紅
衛署藥製字第036195號,圓形,白
衛署藥製字第036204號,圓形,白
衛署藥製字第036214號,四邊形,藍
衛署藥製字第036237號,圓形,白
衛署藥製字第036238號,膠囊,紅;;;黃
衛署藥製字第036248號,橢圓形,白
衛署藥製字第036266號,膠囊,藍;;;橘
衛署藥製字第036267號,圓形,白
衛署藥製字第036268號,六邊形,白
衛署藥製字第036312號,圓形,紅
衛署藥製字第036330號,液劑(包含糖漿用粉劑),透明
衛署藥製字第036338號,六邊形,黃
衛署藥製字第036349號,橢圓形,白
衛署藥製字第036356號,膠囊,紫;;;黃
衛署藥製字第036360號,圓形,橘
衛署藥製字第036367號,其他,橘
衛署藥製字第036370號,圓形,藍
衛署藥製字第036371號,圓形,橘
衛署藥製字第036385號,膠囊,紅;;;粉
衛署藥製字第036389號,圓形,藍
衛署藥製字第036394號,膠囊,棕;;;黃
衛署藥製字第036396號,圓形,白
衛署藥製字第036403號,圓形,橘
衛署藥製字第036410號,圓形,白
衛署藥製字第036422號,圓形,白
衛署藥製字第036425號,膠囊,藍;;;橘
衛署藥製字第036426號,膠囊,藍;;;粉
衛署藥製字第036430號,膠囊,黃;;;白
衛署藥製字第036454號,膠囊,白;;;白
衛署藥製字第036480號,圓形,白
衛署藥製字第036483號,膠囊,白;;;白
衛署藥製字第036485號,圓形,綠
衛署藥製字第036503號,圓形,黃
衛署藥製字第036506號,圓形,白
衛署藥製字第036508號,圓形,白
衛署藥製字第036534號,膠囊,橘;;;白
衛署藥製字第036588號,圓形,紅
衛署藥製字第036600號,圓形,綠
衛署藥製字第036626號,圓形,綠
衛署藥製字第036642號,圓形,黃
衛署藥製字第036644號,圓形,綠
衛署藥製字第036662號,圓形,綠
衛署藥製字第036676號,,
衛署藥製字第036677號,膠囊,黑;;;灰
衛署藥製字第036679號,膠囊,灰;;;白
衛署藥製字第036693號,膠囊,橘;;;白
衛署藥製字第036723號,液劑(包含糖漿用粉劑);;;液劑(包含糖漿用粉劑),透明;;;透明
衛署藥製字第036736號,橢圓形,藍
衛署藥製字第036749號,膠囊,黑;;;黃
衛署藥製字第036757號,膠囊,灰;;;白
衛署藥製字第036758號,膠囊,橘;;;白
衛署藥製字第036769號,圓形,黃
衛署藥製字第036786號,橢圓形,黃
衛署藥製字第036794號,圓形,白
衛署藥製字第036815號,膠囊,藍;;;橘
衛署藥製字第036817號,圓形,綠
衛署藥製字第036845號,橢圓形,粉
衛署藥製字第036854號,橢圓形,灰
衛署藥製字第036864號,液劑(包含糖漿用粉劑),黃
衛署藥製字第036869號,圓形,粉
衛署藥製字第036892號,圓形,綠
衛署藥製字第036895號,四邊形,白
衛署藥製字第036940號,膠囊,藍;;;橘
衛署藥製字第036944號,圓形,白
衛署藥製字第036966號,圓形,白
衛署藥製字第036971號,膠囊,紅
衛署藥製字第037029號,膠囊,藍;;;黃
衛署藥製字第037054號,圓形,白
衛署藥製字第037082號,橢圓形,綠
衛署藥製字第037098號,圓形,白
衛署藥製字第037123號,四邊形,白
衛署藥製字第037125號,膠囊,藍;;;灰
衛署藥製字第037140號,圓形,白
衛署藥製字第037141號,圓形,白
衛署藥製字第037159號,膠囊,綠;;;白
衛署藥製字第037167號,膠囊,藍;;;紅
衛署藥製字第037190號,膠囊,黃
衛署藥製字第037196號,圓形,白
衛署藥製字第037225號,圓形,黃
衛署藥製字第037229號,橢圓形,白
衛署藥製字第037249號,橢圓形,白
衛署藥製字第037256號,圓形,橘
衛署藥製字第037257號,四邊形,橘
衛署藥製字第037267號,膠囊,橘;;;透明
衛署藥製字第037325號,,
衛署藥製字第037344號,膠囊,橘;;;透明
衛署藥製字第037352號,四邊形,藍
衛署藥製字第037355號,圓形,黃
衛署藥製字第037368號,圓形,黃
衛署藥製字第037375號,圓形,橘
衛署藥製字第037378號,圓形,黃
衛署藥製字第037390號,膠囊,橘;;;白
衛署藥製字第037392號,圓形,黃
衛署藥製字第037396號,圓形,白
衛署藥製字第037401號,膠囊,橘;;;黃
衛署藥製字第037402號,橢圓形,黃
衛署藥製字第037441號,圓形,白
衛署藥製字第037473號,膠囊,紅;;;白
衛署藥製字第037519號,圓形,白
衛署藥製字第037522號,圓形,橘
衛署藥製字第037523號,橢圓形,橘
衛署藥製字第037549號,圓形,橘
衛署藥製字第037551號,圓形,黃
衛署藥製字第037557號,圓形,黃
衛署藥製字第037572號,圓形,黃
衛署藥製字第037577號,圓形,白
衛署藥製字第037586號,圓形,黃
衛署藥製字第037591號,圓形,粉
衛署藥製字第037598號,顆粒劑、粉劑或散劑,橘
衛署藥製字第037601號,圓形,白
衛署藥製字第037603號,圓形,橘
衛署藥製字第037608號,膠囊,橘;;;白
衛署藥製字第037644號,圓形,紅
衛署藥製字第037651號,圓形,黃
衛署藥製字第037652號,膠囊,藍;;;白
衛署藥製字第037661號,圓形,白
衛署藥製字第037675號,橢圓形,粉
衛署藥製字第037679號,圓形,白
衛署藥製字第037680號,膠囊,白;;;白
衛署藥製字第037682號,圓形,白
衛署藥製字第037685號,橢圓形,白
衛署藥製字第037686號,液劑(包含糖漿用粉劑),棕
衛署藥製字第037687號,橢圓形,粉
衛署藥製字第037689號,圓形,黃
衛署藥製字第037696號,四邊形,綠
衛署藥製字第037697號,圓形,棕
衛署藥製字第037702號,圓形,白
衛署藥製字第037712號,圓形,白
衛署藥製字第037720號,圓形,白
衛署藥製字第037740號,膠囊,藍;;;黃
衛署藥製字第037807號,橢圓形,黃
衛署藥製字第037834號,液劑(包含糖漿用粉劑),紫
衛署藥製字第037837號,圓形,白
衛署藥製字第037861號,圓形,白
衛署藥製字第037875號,圓形,白
衛署藥製字第037876號,膠囊,棕;;;棕
衛署藥製字第037906號,圓形,白
衛署藥製字第037908號,顆粒劑、粉劑或散劑,粉
衛署藥製字第037928號,圓形,白
衛署藥製字第037929號,圓形,白
衛署藥製字第037945號,橢圓形,綠
衛署藥製字第037997號,圓形,白
衛署藥製字第038018號,圓形,紅
衛署藥製字第038019號,圓形,橘
衛署藥製字第038023號,圓形,白
衛署藥製字第038030號,膠囊,棕;;;透明
衛署藥製字第038055號,五邊形,白
衛署藥製字第038056號,圓形,綠
衛署藥製字第038076號,圓形,粉
衛署藥製字第038081號,膠囊,白;;;白
衛署藥製字第038088號,四邊形,黃
衛署藥製字第038089號,圓形,白
衛署藥製字第038104號,圓形,白
衛署藥製字第038117號,膠囊,藍;;;綠
衛署藥製字第038132號,圓形,黃
衛署藥製字第038134號,膠囊,棕;;;棕
衛署藥製字第038139號,圓形,藍
衛署藥製字第038140號,四邊形,白
衛署藥製字第038163號,顆粒劑、粉劑或散劑,橘
衛署藥製字第055530號,圓形,粉
衛署藥製字第055531號,橢圓形,白
衛署藥製字第055534號,圓形,紫
衛署藥製字第055540號,橢圓形,白
衛署藥製字第055544號,圓形,黃
衛署藥製字第055547號,橢圓形,白
衛署藥製字第055554號,顆粒劑、粉劑或散劑,白
衛署藥製字第055555號,圓形,白
衛署藥製字第055556號,圓形,白
衛署藥製字第055558號,橢圓形,白
衛署藥製字第055560號,橢圓形,白
衛署藥製字第055563號,膠囊,白;;;白
衛署藥製字第055565號,橢圓形,綠
衛署藥製字第055566號,橢圓形,白
衛署藥製字第055568號,四邊形,白
衛署藥製字第055569號,橢圓形,白
衛署藥製字第055571號,橢圓形,白
衛署藥製字第055572號,橢圓形,白
衛署藥製字第055578號,圓形,白
衛署藥製字第055583號,橢圓形,白
衛署藥製字第055584號,四邊形,白
衛署藥製字第055888號,圓形,黃
衛署藥製字第055889號,膠囊,綠;;;綠
衛署藥製字第055895號,橢圓形,白
衛署藥製字第055900號,顆粒劑、粉劑或散劑,黃
衛署藥製字第055902號,圓形,白
衛署藥製字第055904號,四邊形,粉
衛署藥製字第055905號,膠囊,橘;;;黃
衛署藥製字第055906號,五邊形,綠
衛署藥製字第055907號,圓形,白
衛署藥製字第055916號,橢圓形,粉
衛署藥製字第055924號,圓形,白
衛署藥製字第055928號,其他,白
衛署藥製字第055931號,橢圓形,白
衛署藥製字第055939號,雙圓形,白
衛署藥製字第055945號,橢圓形,白
衛署藥製字第055946號,液劑(包含糖漿用粉劑),透明
衛署藥製字第055948號,橢圓形,白
衛署藥製字第055950號,橢圓形,白
衛署藥製字第055953號,三角形;;;三角形,白;;;白
衛署藥製字第055956號,橢圓形,白
衛署藥製字第055961號,橢圓形,白
衛署藥製字第055972號,橢圓形,白
衛署藥製字第055984號,圓形,白
衛署藥製字第055985號,橢圓形,白
衛署藥製字第055986號,橢圓形,白;;;黃
衛署藥製字第055987號,圓形,白
衛署藥製字第055990號,橢圓形,白
衛署藥製字第056296號,,
衛署藥製字第056299號,圓形,橘
衛署藥製字第056306號,圓形,白
衛署藥製字第056311號,圓形,白
衛署藥製字第056313號,圓形,黃
衛署藥製字第056316號,膠囊,粉;;;白
衛署藥製字第056317號,圓形,白
衛署藥製字第056319號,橢圓形,白
衛署藥製字第056321號,圓形,白
衛署藥製字第056626號,橢圓形,粉
衛署藥製字第056633號,圓形,黃
衛署藥製字第056639號,橢圓形,白
衛署藥製字第056643號,膠囊,紅;;;紫
衛署藥製字第056645號,圓形,白
衛署藥製字第056651號,圓形,紫
衛署藥製字第056660號,圓形,紅;;;紅
衛署藥製字第056662號,橢圓形,白
衛署藥製字第056665號,膠囊,紅;;;白
衛署藥製字第056667號,圓形,黃
衛署藥製字第056668號,圓形,白
衛署藥製字第056670號,圓形,粉
衛署藥製字第056679號,圓形,白
衛署藥製字第056680號,圓形,黃
衛署藥製字第056682號,橢圓形,白
衛署藥製字第056685號,圓形,粉
衛署藥製字第056686號,膠囊,藍;;;白
衛署藥製字第056697號,橢圓形,白
衛署藥製字第056702號,橢圓形,白
衛署藥製字第056706號,橢圓形,黃
衛署藥製字第056709號,橢圓形,藍
衛署藥製字第056712號,圓形,白
衛署藥製字第056715號,四邊形,橘
衛署藥製字第056716號,八邊形,白
衛署藥製字第056717號,膠囊,白;;;透明
衛署藥製字第056718號,四邊形,粉
衛署藥製字第056720號,橢圓形,白
衛署藥製字第056724號,圓形,黃
衛署藥製字第056726號,圓形,白
衛署藥製字第056728號,橢圓形,白
衛署藥製字第056730號,圓形,白
衛署藥製字第056733號,橢圓形,黃
衛署藥製字第056735號,圓形,白
衛署藥製字第056736號,橢圓形,白
衛署藥製字第056738號,膠囊,藍;;;白
衛署藥製字第056739號,橢圓形,白
衛署藥製字第056742號,,
衛署藥製字第056744號,圓形,橘
衛署藥製字第056751號,橢圓形,橘
衛署藥製字第056756號,圓形,白
衛署藥製字第056761號,橢圓形,橘
衛署藥製字第056770號,液劑(包含糖漿用粉劑),透明
衛署藥製字第056773號,圓形,白
衛署藥製字第056774號,橢圓形,黃
衛署藥製字第056776號,膠囊,藍;;;白
衛署藥製字第056778號,圓形,白
衛署藥製字第056780號,圓形,黃
衛署藥製字第056782號,圓形,紫
衛署藥製字第056785號,圓形,粉
衛署藥製字第056787號,圓形,白
衛署藥製字第056789號,橢圓形,粉
衛署藥製字第056790號,圓形,黃
衛署藥製字第056791號,圓形,白
衛署藥製字第056799號,圓形,白
衛署藥製字第056800號,圓形,白
衛署藥製字第056801號,橢圓形,白
衛署藥製字第057101號,橢圓形,粉
衛署藥製字第057103號,橢圓形,白
衛署藥製字第057105號,圓形,粉
衛署藥製字第057106號,圓形,黃
衛署藥製字第057107號,膠囊,黃
衛署藥製字第057108號,膠囊,藍;;;藍
衛署藥製字第057114號,八邊形,白
衛署藥製字第057115號,橢圓形,粉
衛署藥製字第057116號,橢圓形,黃
衛署藥製字第057117號,雙圓形,綠
衛署藥製字第057119號,膠囊,粉;;;白
衛署藥製字第057120號,膠囊,紅;;;白
衛署藥製字第057121號,圓形,白
衛署藥製字第057122號,圓形,白
衛署藥製字第057127號,橢圓形,粉
衛署藥製字第057128號,圓形,白
衛署藥製字第057130號,圓形,粉
衛署藥製字第057133號,橢圓形,白
衛署藥製字第057138號,圓形,白
衛署藥製字第057147號,橢圓形,橘
衛署藥製字第057152號,膠囊,藍;;;藍
衛署藥製字第057153號,膠囊,橘;;;橘
衛署藥製字第057155號,圓形,粉
衛署藥製字第057156號,液劑(包含糖漿用粉劑),粉
衛署藥製字第057160號,圓形,粉
衛署藥製字第057163號,圓形,橘
衛署藥製字第057167號,膠囊,藍
衛署藥製字第057169號,顆粒劑、粉劑或散劑,白
衛署藥製字第057170號,橢圓形,白
衛署藥製字第057172號,圓形,白
衛署藥製字第057173號,橢圓形,紅
衛署藥製字第057176號,橢圓形,橘
衛署藥製字第057179號,膠囊,白;;;白
衛署藥製字第057183號,四邊形,黃
衛署藥製字第057194號,圓形,粉
衛署藥製字第057196號,膠囊,白;;;白
衛署藥製字第057199號,圓形,白
衛署藥製字第057200號,橢圓形,白
衛署藥製字第057204號,橢圓形,白
衛署藥製字第057205號,膠囊,粉;;;粉
衛署藥製字第057206號,膠囊,粉;;;白
衛署藥製字第057209號,圓形,白;;;綠
衛署藥製字第057213號,圓形,白
衛署藥製字第057216號,橢圓形,黃
衛署藥製字第057217號,四邊形,粉
衛署藥製字第057219號,圓形,粉
衛署藥製字第057224號,圓形,白
衛署藥製字第057225號,圓形,黃
衛署藥製字第057226號,橢圓形,黃
衛署藥製字第057228號,圓形,白
衛署藥製字第057231號,橢圓形,白
衛署藥製字第057234號,圓形,白
衛署藥製字第057235號,橢圓形,黃
衛署藥製字第057236號,橢圓形,白
衛署藥製字第057237號,橢圓形,黃
衛署藥製字第057238號,橢圓形,粉
衛署藥製字第057239號,圓形,白
衛署藥製字第057244號,橢圓形,白
衛署藥製字第057249號,膠囊,橘;;;黃
衛署藥製字第057261號,圓形,橘
衛署藥製字第057264號,橢圓形,白
衛署藥製字第057267號,四邊形,白
衛署藥輸字第025901號,圓形,黃
衛署藥輸字第025913號,圓形,黃
衛署藥輸字第025923號,膠囊,白
衛署藥輸字第025938號,膠囊,粉;;;粉
衛署藥輸字第025972號,膠囊,粉;;;白
衛署藥輸字第026001號,圓形,黃
衛署藥輸字第026028號,橢圓形,白
衛署藥輸字第026032號,圓形,藍
衛署藥輸字第026033號,圓形,藍
衛署藥輸字第026043號,橢圓形,粉
衛署藥輸字第026045號,圓形,白
衛署藥輸字第026046號,圓形,黃
衛署藥輸字第026049號,橢圓形,粉
衛署藥輸字第026064號,膠囊,白
衛署藥輸字第026090號,橢圓形,白
衛署藥輸字第R00063號,膠囊,黃
衛署藥製字第044293號,四邊形,白
衛署藥製字第044295號,圓形,橘
衛署藥製字第044300號,膠囊,橘;;;橘
衛署藥製字第044315號,四邊形,橘
衛署藥製字第044316號,圓形,橘
衛署藥製字第044317號,圓形,白
衛署藥製字第044320號,圓形,橘
衛署藥製字第044331號,四邊形,藍
衛署藥製字第044338號,圓形,白
衛署藥製字第044365號,圓形,黃
衛署藥製字第044366號,橢圓形,黃
衛署藥製字第044371號,八邊形,白
衛署藥製字第044374號,橢圓形,白
衛署藥製字第044375號,液劑(包含糖漿用粉劑),棕
衛署藥製字第044403號,圓形,橘
衛署藥製字第044418號,四邊形,藍
衛署藥製字第044434號,圓形,橘
衛署藥製字第044437號,,
衛署藥製字第044448號,膠囊,紅;;;白
衛署藥製字第044449號,圓形,白
衛署藥製字第044450號,圓形,橘
衛署藥製字第044459號,圓形,白
衛署藥製字第044461號,膠囊,橘;;;黃
衛署藥製字第044463號,四邊形,白
衛署藥製字第044468號,圓形,粉
衛署藥製字第044469號,圓形,白
衛署藥製字第044475號,八邊形,白
衛署藥製字第044476號,圓形,黃
衛署藥製字第044478號,圓形,橘
衛署藥製字第044479號,橢圓形,黃
衛署藥製字第044481號,圓形,白
衛署藥製字第044485號,四邊形,白
衛署藥製字第044500號,顆粒劑、粉劑或散劑,白
衛署藥製字第044507號,四邊形,白
衛署藥製字第044541號,橢圓形,白
衛署藥製字第044546號,橢圓形,粉
衛署藥製字第044547號,圓形,橘
衛署藥製字第044572號,圓形,白
衛署藥製字第044575號,圓形,粉
衛署藥製字第044595號,橢圓形,白
衛署藥製字第044596號,圓形,白
衛署藥製字第044597號,四邊形,白
衛署藥製字第044602號,橢圓形,藍
衛署藥製字第044605號,橢圓形,白
衛署藥製字第044607號,八邊形,白;;;白
衛署藥製字第044619號,圓形,白
衛署藥製字第044680號,膠囊,藍;;;白
衛署藥製字第044682號,圓形,白
衛署藥製字第044684號,橢圓形,白
衛署藥製字第044685號,橢圓形,粉
衛署藥製字第044689號,膠囊,白;;;透明
衛署藥製字第044708號,橢圓形,白
衛署藥製字第044710號,四邊形,白
衛署藥製字第044713號,橢圓形,白
衛署藥製字第044731號,圓形,白
衛署藥製字第044733號,橢圓形,黃
衛署藥製字第044781號,圓形,白
衛署藥製字第044801號,四邊形,白
衛署藥製字第044804號,膠囊,紅;;;白
衛署藥製字第044807號,圓形,白
衛署藥製字第044826號,橢圓形,白
衛署藥製字第044829號,橢圓形,橘
衛署藥製字第044843號,圓形,白
衛署藥製字第044850號,四邊形,白
衛署藥製字第044853號,橢圓形,白
衛署藥製字第044878號,膠囊,黃;;;綠
衛署藥製字第044916號,橢圓形,紅
衛署藥製字第044921號,橢圓形,紫
衛署藥製字第044924號,膠囊,白;;;透明
衛署藥製字第044974號,,
衛署藥製字第044978號,圓形,白
衛署藥製字第044980號,圓形,白
衛署藥製字第044998號,橢圓形,粉
衛署藥製字第045000號,圓形,紫
衛署藥製字第045001號,圓形,橘
衛署藥製字第045013號,四邊形,白
衛署藥製字第045020號,圓形,白
衛署藥製字第045031號,圓形,粉;;;白
衛署藥製字第045039號,四邊形,白
衛署藥製字第045041號,橢圓形,白
衛署藥製字第045043號,圓形,粉
衛署藥製字第045085號,八邊形,白
衛署藥製字第045147號,橢圓形,白
衛署藥製字第045155號,橢圓形,白
衛署藥製字第045172號,四邊形,黃
衛署藥製字第045177號,圓形,粉
衛署藥製字第045178號,橢圓形,白
衛署藥製字第045181號,圓形,白;;;藍
衛署藥製字第045187號,八邊形,白
衛署藥製字第045201號,橢圓形,白
衛署藥製字第045247號,圓形,白
衛署藥製字第045248號,膠囊,白;;;白
衛署藥製字第045250號,膠囊,綠;;;綠
衛署藥製字第045254號,四邊形,白
衛署藥製字第045276號,橢圓形,白
衛署藥製字第045277號,液劑(包含糖漿用粉劑),棕
衛署藥製字第045281號,圓形,黃
衛署藥製字第045290號,圓形,黃
衛署藥製字第045305號,圓形,橘
衛署藥製字第045309號,圓形,橘
衛署藥製字第045311號,圓形,黃
衛署藥製字第045312號,圓形,紅
衛署藥製字第045334號,圓形,白
衛署藥製字第045342號,圓形,橘
衛署藥製字第045343號,橢圓形,黃
衛署藥製字第045345號,圓形,白
衛署藥製字第045346號,膠囊,白;;;白
衛署藥製字第045348號,其他,黃
衛署藥製字第045350號,液劑(包含糖漿用粉劑),粉
衛署藥製字第045352號,圓形,白
衛署藥製字第045358號,圓形,橘
衛署藥製字第045374號,膠囊,紅;;;橘
衛署藥製字第045375號,圓形,黃
衛署藥製字第045380號,橢圓形,白
衛署藥製字第045381號,橢圓形,黃
衛署藥製字第045383號,圓形,白
衛署藥製字第045385號,圓形,黃
衛署藥製字第045387號,六邊形,藍
衛署藥製字第045392號,圓形,橘
衛署藥製字第045407號,圓形,綠
衛署藥製字第045412號,橢圓形,橘
衛署藥製字第045414號,圓形,黃
衛署藥製字第045437號,圓形,黃
衛署藥製字第045489號,三角形,白
衛署藥製字第045492號,圓形,白
衛署藥製字第045510號,圓形,紅
衛署藥製字第045539號,膠囊,白;;;透明
衛署藥製字第045541號,圓形,白
衛署藥製字第045543號,膠囊,灰;;;灰
衛署藥製字第045552號,橢圓形,粉
衛署藥製字第045557號,橢圓形,白
衛署藥製字第045621號,四邊形,藍
衛署藥製字第045646號,圓形,白
衛署藥製字第045648號,圓形,黃
衛署藥製字第045649號,橢圓形,粉
衛署藥製字第045653號,橢圓形,綠
衛署藥製字第045671號,橢圓形,白
衛署藥製字第045697號,圓形,白
衛署藥製字第045699號,膠囊,橘;;;橘
衛署藥製字第045700號,圓形,黃
衛署藥製字第045708號,膠囊,粉;;;粉
衛署藥製字第045722號,膠囊,灰;;;灰
衛署藥製字第045725號,橢圓形,紅
衛署藥製字第045733號,圓形,白
衛署藥製字第045752號,橢圓形,白
衛署藥製字第045757號,膠囊,橘
衛署藥製字第045777號,膠囊,黃;;;黃
衛署藥製字第045779號,橢圓形,綠
衛署藥製字第045781號,圓形,黃
衛署藥製字第045800號,膠囊,紅;;;白
衛署藥製字第045826號,膠囊,白;;;白
衛署藥製字第045827號,膠囊,綠;;;透明
衛署藥製字第045847號,橢圓形,白
衛署藥製字第045855號,膠囊,橘;;;棕
衛署藥製字第045862號,圓形;;;圓形,灰;;;白
衛署藥製字第045863號,圓形,白
衛署藥製字第045885號,四邊形,白
衛署藥製字第045891號,圓形,黃
衛署藥製字第045892號,圓形,粉
衛署藥製字第045921號,圓形,棕
衛署藥製字第045923號,橢圓形,白
衛署藥製字第045926號,膠囊,白;;;白
衛署藥製字第045950號,圓形,白
衛署藥製字第045954號,膠囊,綠;;;透明
衛署藥製字第045955號,圓形,白
衛署藥製字第045956號,圓形,白
衛署藥製字第045959號,圓形,白;;;白
衛署藥製字第045965號,膠囊,藍;;;藍
衛署藥製字第045967號,圓形,白;;;白
